Node 0: Symbol = S, Parent = None, Sibling = None
Node 1: Symbol = A, Parent = S, Sibling = None
Node 2: Symbol = B, Parent = A, Sibling = None
Node 3: Symbol = (, Parent = B, Sibling = A
Node 4: Symbol = A, Parent = B, Sibling = None
Node 5: Symbol = B, Parent = A, Sibling = None
Node 6: Symbol = ), Parent = B, Sibling = A
Node 7: Symbol = A, Parent = B, Sibling = None
Node 8: Symbol = B, Parent = A, Sibling = None
Node 9: Symbol = ), Parent = B, Sibling = A
Node 10: Symbol = A, Parent = B, Sibling = None
Node 11: Symbol = B, Parent = A, Sibling = None
Node 12: Symbol = ), Parent = B, Sibling = A
Node 13: Symbol = A, Parent = B, Sibling = None
Node 14: Symbol = B, Parent = A, Sibling = None
Node 15: Symbol = (, Parent = B, Sibling = A
Node 16: Symbol = A, Parent = B, Sibling = None
Node 17: Symbol = B, Parent = A, Sibling = None
Node 18: Symbol = (, Parent = B, Sibling = A
Node 19: Symbol = A, Parent = B, Sibling = None
Node 20: Symbol = B, Parent = A, Sibling = None
Node 21: Symbol = (, Parent = B, Sibling = A
Node 22: Symbol = A, Parent = B, Sibling = None
Node 23: Symbol = B, Parent = A, Sibling = None
Node 24: Symbol = ), Parent = B, Sibling = A
Node 25: Symbol = A, Parent = B, Sibling = None
Node 26: Symbol = B, Parent = A, Sibling = None
Node 27: Symbol = ), Parent = B, Sibling = A
Node 28: Symbol = A, Parent = B, Sibling = None
Node 29: Symbol = B, Parent = A, Sibling = None
Node 30: Symbol = ), Parent = B, Sibling = A
Node 31: Symbol = A, Parent = B, Sibling = None
Node 32: Symbol = B, Parent = A, Sibling = None
Node 33: Symbol = (, Parent = B, Sibling = A
Node 34: Symbol = A, Parent = B, Sibling = None
Node 35: Symbol = B, Parent = A, Sibling = None
Node 36: Symbol = (, Parent = B, Sibling = A
Node 37: Symbol = A, Parent = B, Sibling = None
Node 38: Symbol = B, Parent = A, Sibling = None
Node 39: Symbol = (, Parent = B, Sibling = A
Node 40: Symbol = A, Parent = B, Sibling = None
Node 41: Symbol = B, Parent = A, Sibling = None
Node 42: Symbol = ), Parent = B, Sibling = None
